grupo,Aracaju (SE),Belo Horizonte (MG),Belém (PA),Brasil,Brasília (DF),Campo Grande (MS),Curitiba (PR),Fortaleza (CE),Goiânia (GO),Grande Vitória (ES),Porto Alegre (RS),Recife (PE),Rio Branco (AC),Rio de Janeiro (RJ),Salvador (BA),São Luís (MA),São Paulo (SP)
Alimentação e bebidas,-0.21,-0.15,-0.27,-0.01,0.23,0.14,0.02,0.02,0.03,-0.56,-0.59,0.23,0.0,-0.17,0.31,0.16,0.16
Habitação,0.34,0.1,0.11,0.52,1.72,0.65,0.18,1.82,4.2,-0.08,1.05,0.15,0.57,0.22,-0.15,0.23,0.28
Artigos de residência,-0.63,-1.73,-1.82,-1.0,-1.27,-0.76,-0.57,-0.74,-1.27,-1.75,-0.5,-0.34,-0.5,-1.58,-1.69,-2.46,-0.59
Vestuário,0.5,0.43,-0.2,0.49,-0.14,-0.48,0.7,0.3,1.57,0.03,0.56,0.21,-0.81,0.06,0.53,0.58,0.76
Transportes,-0.83,0.45,0.46,0.22,0.07,0.83,0.22,0.0,-0.67,0.69,0.21,-0.6,0.75,0.66,-0.55,0.04,0.37
Saúde e cuidados pessoais,0.27,0.12,-1.37,-0.04,-0.07,-0.46,0.0,0.51,-0.68,0.32,-0.27,-0.45,-0.29,-0.07,0.2,-0.44,0.17
Despesas pessoais,0.37,0.15,4.51,0.77,0.5,0.55,0.73,0.84,0.76,0.79,0.41,0.3,0.27,0.64,0.77,0.09,0.89
Educação,-0.06,-0.03,0.14,0.01,0.07,-0.04,0.01,0.01,-0.01,-0.05,0.1,0.06,0.43,-0.06,-0.04,0.04,0.01
Comunicação,-0.68,-0.37,-0.32,-0.2,-0.31,-0.33,-0.25,-0.2,-0.28,-0.32,0.05,0.12,-0.37,-0.34,-0.18,-0.43,-0.11
Índice geral,-0.1,0.04,0.11,0.18,0.28,0.23,0.16,0.42,0.44,0.09,0.09,-0.08,0.15,0.12,0.01,-0.05,0.28
"Fonte: ""IBGE - Índice Nacional de Preços ao Consumidor Amplo""",,,,,,,,,,,,,,,,,
