Variações por Regiões e Grupos;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
1.Alimentação e bebidas;-0.43;-0.45;-0.57;-0.18;-0.38;-0.51;-0.28;-0.04;-0.26;0.14;0.13;-0.34;-0.09;-0.74;-0.05;-0.48;0.1
2.Habitação;1.25;2.75;1.01;0.99;0.75;0.98;1.39;0.58;1.22;0.77;1.03;0.71;2.07;0.48;0.38;1.94;0.74
3.Artigos de residência;-0.22;-0.07;-0.09;0.08;-0.03;0.36;0.38;-0.37;0.32;-0.11;-0.47;-0.12;-0.42;0.19;-0.86;0.14;0.49
4.Vestuário;0.98;0.44;1.18;0.75;0.24;-0.08;0.32;0.52;1.18;1.09;0.46;0.32;0.21;1.24;1.46;-0.28;0.95
5.Transportes;0.54;0.77;0.65;0.27;0.06;-0.25;-0.3;0.44;-0.15;-0.22;-0.59;1.89;0.72;0.26;1.04;0.71;0.27
6.Saúde e cuidados pessoais;-0.54;0.33;-0.49;0.07;0.2;-0.44;-0.09;1.17;-0.02;0.15;-0.33;-0.37;-0.16;0.37;0.03;-0.58;0.12
7.Despesas pessoais;0.16;0.3;0.51;0.23;0.25;-0.02;0.59;0.35;0.27;0.98;0.46;0.04;3.07;-0.12;-0.04;0.44;0.13
8.Educação;0.01;-0.03;-0.07;0;-0.02;0.02;0.01;0;0.02;0.02;-0.1;-0.01;0.08;0.02;0.07;-0.03;0.02
9.Comunicação;0.32;0.42;0;0.11;0.13;-0.21;0.16;0.25;-0.2;0.3;-0.09;-0.07;0.11;0.03;0.2;0.04;0.13
Índice geral;0.14;0.53;0.16;0.24;0.12;-0.08;0.14;0.37;0.16;0.25;0.05;0.33;0.64;0.08;0.29;0.22;0.29

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
