Variações por Regiões e Grupos
   ;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
1.Alimentação e bebidas;-0.3;0.03;-0.34;-0.26;-0.08;-0.53;-0.51;-0.3;-0.25;-0.49;-0.44;-0.36;-0.3;-0.66;-0.56;-1.06;0.03
2.Habitação;4.09;2.69;3.31;2.97;2.29;3.1;2.97;2.98;3.67;4.13;3.33;2.65;3.81;3.41;2.15;9.37;2.55
3.Artigos de residência;0;-1.08;-1.51;-0.4;1.03;-0.48;-0.22;-0.81;-0.93;-0.27;-0.81;0;0.58;-0.17;-0.61;-0.1;-0.11
4.Vestuário;-0.64;0.76;-0.49;0.63;1.42;0.75;1.26;1.15;0.76;1.05;0.24;1;0.59;0.71;1.17;-0.33;0.42
5.Transportes;-0.04;-0.44;-0.16;0.01;-0.63;0.26;-0.21;-0.36;1.09;0.28;0.6;0.61;0.13;-0.31;-0.32;-0.49;0.11
6.Saúde e cuidados pessoais;0.38;-0.08;-0.7;0.17;0.36;0.63;0.37;0.09;0.06;0.24;0.07;0.22;-0.61;0.09;-0.01;0.6;0.34
7.Despesas pessoais;0.63;0.51;0.78;0.51;0.82;0.42;0.27;0.29;0.5;0.83;0.1;0.78;0.4;0.45;0.19;0.48;0.64
8.Educação;0;0.03;0.11;0.07;0.13;0.08;0.12;-0.04;0.01;-0.02;0.24;0.04;0.24;0.01;0.07;0.06;0.06
9.Comunicação;0.01;-0.26;-0.1;-0.17;0.13;-0.05;-0.15;-0.33;-0.09;-0.11;-0.15;0.17;-0.08;-0.33;-0.32;-0.52;-0.14
Índice geral;0.52;0.31;0.27;0.48;0.41;0.55;0.37;0.38;0.75;0.76;0.5;0.56;0.46;0.48;0.17;1.02;0.57

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
